,x_shift,y_shift,cluster
289,-4656.629686985148,-9854.33330614334,cluster_5
290,-4649.651106794247,-9870.66925163472,cluster_5
291,-4625.546824715521,-9927.09423026581,cluster_5
292,-4614.0361796138595,-9954.039148258804,cluster_5
293,-4604.372477615824,-9976.660613480439,cluster_5
294,-4587.27778168436,-10016.67706572272,cluster_5
295,-4580.101450160143,-10033.475921277972,cluster_5
296,-4571.6296967919425,-10053.30719031172,cluster_5
297,-4568.358168683723,-10060.965410664203,cluster_5
298,-4666.556905481629,-9831.09498318891,cluster_5
299,-4409.311529001969,-10433.27283787067,cluster_5
300,-4402.194349029696,-10449.933227362359,cluster_5
301,-4414.390312272879,-10421.384069037105,cluster_5
302,-4408.034744613655,-10436.261623497714,cluster_5
303,-4412.605453916116,-10425.562189518392,cluster_5
304,-4397.2234015005015,-10461.569566797609,cluster_5
305,-4405.22646941949,-10442.835429234947,cluster_5
306,-4401.12850385849,-10452.428231810653,cluster_5
307,-4410.579044798827,-10430.305748806632,cluster_5
308,-4408.062086292705,-10436.19762019527,cluster_5
309,-4389.865443273384,-10478.793586761265,cluster_5
310,-4409.187020319966,-10433.564296446306,cluster_5
311,-4383.430983568767,-10493.85581720438,cluster_5
312,-4410.703911741329,-10430.013451589923,cluster_5
313,-4388.490520046514,-10482.012102601817,cluster_5
314,-4396.291849082253,-10463.750209437027,cluster_5
315,-4384.59757416653,-10491.124980860239,cluster_5
316,-4398.059001932029,-10459.61353523695,cluster_5
317,-4399.315096953794,-10456.673180716944,cluster_5
318,-4378.879982691388,-10504.50911633262,cluster_5
319,-4388.451304524704,-10482.103901020577,cluster_5
320,-4394.277714012432,-10468.46503678196,cluster_5
321,-4378.894841478562,-10504.474333850983,cluster_5
322,-4384.959776011839,-10490.277113609312,cluster_5
323,-4393.276273895118,-10470.809277404238,cluster_5
324,-4406.456867060956,-10439.955228928598,cluster_5
325,-4390.199160444638,-10478.012398414921,cluster_5
326,-4376.195480352792,-10510.793185967868,cluster_5
327,-4386.859707834739,-10485.82962116139,cluster_5
328,-4380.8277609977895,-10499.949621511001,cluster_5
329,-4405.003660262281,-10443.356996394394,cluster_5
330,-4382.072711536431,-10497.035354771582,cluster_5
331,-4374.219354012293,-10515.419039837767,cluster_5
332,-4374.395928499881,-10515.005702006074,cluster_5
333,-4407.561120910031,-10437.370314777916,cluster_5
334,-4397.2541708320505,-10461.497539807988,cluster_5
335,-4403.225059615567,-10447.520468393117,cluster_5
336,-4393.901624180648,-10469.345413996783,cluster_5
337,-4399.7532304503875,-10455.64756737977,cluster_5
338,-4376.289336052498,-10510.573482023443,cluster_5
339,-4381.546548016303,-10498.267034905539,cluster_5
340,-4388.770153025054,-10481.357518292394,cluster_5
341,-4400.616758679795,-10453.626160488975,cluster_5
342,-4396.163065610814,-10464.051674736855,cluster_5
343,-4405.037349989938,-10443.278133138607,cluster_5
344,-4404.87620959899,-10443.655341764286,cluster_5
345,-4368.772697410822,-10528.168952129083,cluster_5
346,-4364.300264316005,-10538.638334331787,cluster_5
347,-4371.327549790845,-10522.188376126962,cluster_5
348,-4377.85623829743,-10506.905568355716,cluster_5
349,-4384.145650464188,-10492.182875269384,cluster_5
350,-4409.855676231223,-10431.999060220602,cluster_5
351,-4395.486476557831,-10465.63548141203,cluster_5
352,-4395.257551990117,-10466.171363949381,cluster_5
353,-4366.572809467433,-10533.318602709469,cluster_5
354,-4367.736858978955,-10530.593714716597,cluster_5
355,-4381.990050465026,-10497.228853552107,cluster_5
356,-4405.148539950677,-10443.017851951297,cluster_5
357,-4385.472040977672,-10489.077968177133,cluster_5
358,-4373.695602550435,-10516.6450736581,cluster_5
359,-4400.577874521123,-10453.71718322987,cluster_5
360,-4370.610914223,-10523.865926467182,cluster_5
361,-4359.789590070142,-10549.197234078454,cluster_5
362,-4355.3198349036165,-10559.660347600513,cluster_5
363,-4384.58601657303,-10491.152035678306,cluster_5
364,-4397.829532371466,-10460.150693531437,cluster_5
365,-4357.213696765164,-10555.227064139961,cluster_5
366,-4370.487802701193,-10524.154114473135,cluster_5
367,-4393.24454751869,-10470.883544711025,cluster_5
368,-4379.110432417359,-10503.969663598828,cluster_5
369,-4366.078105000578,-10534.47664130526,cluster_5
370,-4361.763787058052,-10544.575896571178,cluster_5
371,-4353.735137996187,-10563.369916250862,cluster_5
372,-4358.08540995298,-10553.186497329705,cluster_5
373,-4364.287482727979,-10538.668254361302,cluster_5
374,-4354.158992237871,-10562.37772878593,cluster_5
375,-4374.176482732299,-10515.519395909343,cluster_5
376,-4356.154227918633,-10557.70714244433,cluster_5
377,-4369.075172804465,-10527.46089670694,cluster_5
378,-4373.388561155504,-10517.363817493375,cluster_5
379,-4362.444481153958,-10542.982480526247,cluster_5
380,-4413.517709886847,-10423.426717344342,cluster_5
381,-4415.740476553056,-10418.223510659609,cluster_5
382,-4419.824687173355,-10408.662906605003,cluster_5
