,x_shift,y_shift,cluster
166,-11810.472079651032,-7214.555504784067,cluster_5
167,-11845.894916380375,-7155.580145282015,cluster_5
168,-11804.755206286492,-7224.073507661068,cluster_5
169,-11796.48304208565,-7237.845805496281,cluster_5
170,-11840.383741113274,-7164.75568210137,cluster_5
171,-11836.92481756087,-7170.5144320725185,cluster_5
172,-11841.528778152122,-7162.849313858612,cluster_5
173,-11835.12997625486,-7173.502657213261,cluster_5
174,-11821.217146775802,-7196.666079343669,cluster_5
175,-11744.241184397122,-7324.82309536657,cluster_5
176,-11829.845488848407,-7182.300782190123,cluster_5
177,-11186.852807141866,-8252.817094889033,cluster_5
178,-11171.485864736707,-8278.4014646479,cluster_5
179,-11333.003656482178,-8009.491046576383,cluster_5
180,-11271.047252943486,-8112.642050547836,cluster_5
181,-11222.052220793472,-8194.213711703595,cluster_5
182,-11195.17720338535,-8238.957836104984,cluster_5
183,-11187.998416681574,-8250.909773491556,cluster_5
184,-11180.449546446322,-8263.477861681667,cluster_5
185,-11165.675513854576,-8288.07509792366,cluster_5
186,-11156.746144995193,-8302.94157354311,cluster_5
187,-11155.54883196981,-8304.93497589674,cluster_5
188,-11144.582184105728,-8323.19331035082,cluster_5
189,-11480.72866876488,-7763.54417977448,cluster_5
190,-11196.67962284015,-8236.456463102402,cluster_5
191,-11131.954619936318,-8344.216898670873,cluster_5
192,-11188.666990841359,-8249.796666663653,cluster_5
193,-11192.879625955498,-8242.783064895797,cluster_5
194,-11219.854387483978,-8197.872876850173,cluster_5
195,-11169.582513847066,-8281.570347022647,cluster_5
196,-11210.08288603297,-8214.141416136037,cluster_5
197,-11171.842183097995,-8277.80823142904,cluster_5
198,-11192.435186472278,-8243.523010668636,cluster_5
199,-11217.518836266585,-8201.761328069753,cluster_5
200,-11222.532910470458,-8193.413413107357,cluster_5
201,-11177.16144554941,-8268.952209598974,cluster_5
202,-11188.876797298406,-8249.447360612168,cluster_5
203,-11186.382716835202,-8253.599746629936,cluster_5
204,-11213.18391105511,-8208.97853020166,cluster_5
205,-11153.169883538074,-8308.895678989786,cluster_5
206,-11195.016429111865,-8239.225508642052,cluster_5
207,-11164.614583515611,-8289.841437209954,cluster_5
208,-11180.18407067001,-8263.919851392053,cluster_5
209,-11170.385311360193,-8280.233772193655,cluster_5
210,-11204.021302920237,-8224.233325091733,cluster_5
211,-11148.785748611179,-8316.194810208292,cluster_5
